epoch,loss,val_loss
0,1.2611349821090698,3.3939738273620605
1,0.658014714717865,0.9359976053237915
2,0.5878487825393677,0.5649250745773315
3,0.558220624923706,0.5712425708770752
4,0.5347447395324707,0.5045127868652344
5,0.5158383250236511,0.48313257098197937
6,0.5001887083053589,0.4639434516429901
7,0.48763012886047363,0.4637644290924072
8,0.47597867250442505,0.44211268424987793
9,0.46589067578315735,0.43128731846809387
10,0.45765236020088196,0.43454405665397644
11,0.4497882127761841,0.4167725741863251
12,0.44278815388679504,0.4229958653450012
13,0.43657398223876953,0.40473389625549316
14,0.430705726146698,0.4078117311000824
15,0.42567917704582214,0.39381951093673706
16,0.42097708582878113,0.3951864540576935
17,0.4166797995567322,0.3860085606575012
18,0.41208985447883606,0.3826524615287781
19,0.40877118706703186,0.40535709261894226
