Time [s],Strain,Stress [MPa],Displacement [nm],Load [mN]
4.95,0.00427343,34.27193716,24.3585515,0.202082944
5,0.004090878,34.95866794,23.31800481,0.206132221
5.05,0.00447481,36.9558056,25.50641867,0.217908254
5.1,0.004685669,38.42510254,26.70831188,0.226571898
5.15,0.004597094,37.97900757,26.20343648,0.223941519
5.2,0.004437318,35.44993867,25.29271479,0.209028977
5.25,0.0046371,37.52555773,26.43147138,0.221267772
5.3,0.00468816,39.21165712,26.72251436,0.231209782
5.35,0.004645583,42.01436277,26.47982434,0.24773581
5.4,0.004530857,45.09167582,25.8258844,0.265881049
5.45,0.004800308,46.22394843,27.36175529,0.272557443
5.5,0.005020667,47.01479787,28.61779949,0.277220652
5.55,0.004695142,44.51578444,26.76231113,0.262485331
5.6,0.005026609,48.41976826,28.65166916,0.285504997
5.65,0.005013548,48.09682127,28.57722258,0.283600754
5.7,0.004914332,47.1490848,28.01169366,0.278012469
5.75,0.005100743,49.2055389,29.07423422,0.290138258
5.8,0.005153117,47.86440713,29.37276486,0.282230335
5.85,0.004918934,47.47704726,28.03792416,0.279946285
5.9,0.004954558,41.28411769,28.24098057,0.243429953
5.95,0.005080646,42.92322513,28.95968182,0.253094876
6,0.005067967,42.4452919,28.88741255,0.250276764
6.05,0.005311961,44.20200518,30.2781791,0.260635146
6.1,0.00529163,44.14816219,30.16228843,0.260317663
6.15,0.005325631,45.26280071,30.35609718,0.266890079
6.2,0.005370228,44.57296769,30.61030234,0.262822509
6.25,0.005406659,46.20296742,30.817955,0.27243373
6.3,0.005376643,47.03270875,30.64686768,0.277326263
6.35,0.005528894,51.73923758,31.51469677,0.305078099
6.4,0.005523813,53.10666372,31.4857336,0.313141066
6.45,0.005580228,52.48225125,31.80729675,0.309459246
6.5,0.005550852,53.06259613,31.63985427,0.312881224
6.55,0.005594231,52.97924026,31.88711855,0.312389719
6.6,0.005728587,54.70564615,32.65294694,0.322569395
6.65,0.005703925,55.48130314,32.51236965,0.327143021
6.7,0.005727656,55.51535933,32.64763709,0.327343832
6.75,0.005792866,54.97105602,33.01933843,0.324134372
6.8,0.005816741,56.47168739,33.15542172,0.332982778
6.85,0.005824946,58.87252951,33.20219201,0.347139236
6.9,0.005939042,52.45357351,33.85254112,0.309290149
6.95,0.006003883,54.35610717,34.22213316,0.320508354
7,0.00600008,54.97313483,34.20045555,0.32414663
7.05,0.005998174,53.95028876,34.18959066,0.318115463
7.1,0.006083724,54.77815041,34.67722642,0.322996913
7.15,0.006173214,56.59233921,35.18731716,0.333694196
7.2,0.006251027,56.36546895,35.63085124,0.332356465
7.25,0.006181937,56.49323774,35.23704261,0.333109848
7.3,0.006221008,57.27585148,35.45974698,0.337724495
7.35,0.006325283,62.47514662,36.05411025,0.368381906
7.4,0.006411383,63.80129736,36.54488297,0.376201495
7.45,0.006421867,64.13674151,36.60464359,0.378179426
7.5,0.006358927,63.07659254,36.24588588,0.371928305
7.55,0.006379777,63.52239511,36.36473064,0.37455696
7.6,0.006564055,65.52319523,37.41511426,0.386354589
7.65,0.006694647,66.88242443,38.15948644,0.394369223
7.7,0.006795158,68.16573014,38.73240321,0.401936177
7.75,0.006631724,67.18871332,37.80082921,0.396175242
7.8,0.006799338,68.10588875,38.75622512,0.401583325
7.85,0.006764989,69.49525093,38.56043479,0.409775637
7.9,0.006804447,63.44434364,38.78534909,0.374096733
7.95,0.006821514,64.6093459,38.88262929,0.380966117
8,0.006920938,65.51313105,39.44934769,0.386295246
8.05,0.006897246,65.70831633,39.3143009,0.387446147
8.1,0.006930428,65.00487987,39.50343903,0.383298365
8.15,0.007115633,67.55243377,40.5591103,0.398319903
8.2,0.007054106,68.01416515,40.20840267,0.401042481
8.25,0.007051688,68.59530453,40.19461929,0.404469144
8.3,0.007170616,67.955002,40.87250837,0.400693628
8.35,0.007148282,70.64878322,40.74520478,0.416577389
8.4,0.007157572,64.51416243,40.79816026,0.380404872
8.45,0.007214427,64.06531577,41.12223124,0.377758268
8.5,0.007282639,66.33925055,41.51104455,0.391166422
8.55,0.007225848,65.3176253,41.18733296,0.385142455
8.6,0.007316057,65.16915893,41.70152567,0.384267029
8.65,0.007430433,67.68194847,42.35346563,0.399083581
8.7,0.0073635,67.42358877,41.97195052,0.397560174
8.75,0.00761661,69.94971046,43.41467889,0.412455338
8.8,0.007525718,70.09365998,42.89659538,0.413304129
8.85,0.007638568,72.82613931,43.539836,0.429416072
8.9,0.007579049,73.10484432,43.20057801,0.431059443
8.95,0.007738537,74.03399543,44.10965913,0.436538141
9,0.007739764,74.97337819,44.11665726,0.44207717
9.05,0.007775445,75.97901476,44.32003878,0.448006861
9.1,0.007707983,75.53181523,43.93550128,0.445369969
9.15,0.007746604,74.66883868,44.15564534,0.440281466
9.2,0.007880258,76.76054158,44.9174687,0.452615099
9.25,0.007883711,77.57367587,44.93715545,0.457409708
9.3,0.008039151,78.37132703,45.82316061,0.462113023
9.35,0.00798659,82.37691035,45.52356182,0.485731766
9.4,0.008034298,81.05790841,45.79549676,0.47795433
9.45,0.00801459,80.83803365,45.68316493,0.476657848
9.5,0.00804552,80.47795817,45.85946673,0.474534679
9.55,0.008105752,80.00045126,46.202789,0.471719081
9.6,0.00818819,81.57545587,46.67268273,0.481006025
9.65,0.008286313,82.31948776,47.23198639,0.485393176
9.7,0.008255206,82.64328566,47.05467683,0.487302436
9.75,0.008273748,82.99987134,47.16036317,0.489405027
9.8,0.008305556,82.83937116,47.34166816,0.488458645
9.85,0.008311593,84.78664891,47.37608176,0.499940681
9.9,0.008508626,80.50883996,48.49916805,0.474716772
9.95,0.00840078,80.52578526,47.88444699,0.474816689
10,0.008488657,81.25508978,48.38534594,0.479117001
10.05,0.008512624,82.42299876,48.52195481,0.486003524
10.1,0.008628551,83.10494314,49.18274046,0.490024578
10.15,0.008718795,85.22648836,49.69712934,0.502534175
10.2,0.008753604,84.51466117,49.89554226,0.498336918
10.25,0.00866609,84.89056684,49.39671096,0.500553429
10.3,0.00870905,85.3873145,49.64158323,0.503482479
10.35,0.009020862,92.01636639,51.41891576,0.542570387
10.4,0.008700067,90.12685309,49.59038003,0.531428956
10.45,0.008841062,88.76702144,50.39405553,0.52341077
10.5,0.008911912,90.54596142,50.79789761,0.53390021
10.55,0.008816967,90.15366012,50.25671183,0.531587023
10.6,0.008913267,93.20130526,50.80562175,0.549557326
10.65,0.009058976,94.17237126,51.63616216,0.555283173
10.7,0.008988827,94.10097169,51.23631366,0.554862169
10.75,0.00904507,93.25648187,51.5568981,0.549882672
10.8,0.009183969,94.80071401,52.34862375,0.558988168
10.85,0.009186281,99.38237021,52.36180387,0.586003699
10.9,0.009247752,100.9200332,52.71218429,0.59507046
10.95,0.009349601,103.1782911,53.29272437,0.608386176
11,0.009372404,102.6369526,53.42270438,0.605194198
11.05,0.009355483,101.2516968,53.32625234,0.5970261
11.1,0.009480766,102.3727883,54.0403642,0.603636565
11.15,0.009417121,101.1788915,53.67758778,0.596596806
11.2,0.009486062,101.827738,54.07055557,0.600422701
11.25,0.009529115,102.0380383,54.3159567,0.601662727
11.3,0.009544737,103.8723997,54.40500207,0.612478957
11.35,0.009616634,107.0627066,54.81481477,0.631290458
11.4,0.009694083,100.603696,55.25627549,0.593205192
11.45,0.009762331,101.0394413,55.64528397,0.595774544
11.5,0.00973157,100.3888684,55.46994913,0.59193847
11.55,0.009762295,101.9766044,55.64507873,0.601300485
11.6,0.00986955,102.7381154,56.25643398,0.6057907
11.65,0.009919898,103.6472683,56.54341969,0.611151479
11.7,0.009932701,104.2503437,56.61639617,0.614707486
11.75,0.01008574,106.7389493,57.48871638,0.629381438
11.8,0.010093385,107.2337785,57.5322947,0.632299177
11.85,0.010109724,110.4776853,57.62542932,0.651426728
11.9,0.010080534,110.1099361,57.45904499,0.649258311
